# File: tokyo_storage.csv
# Title: Tokyo water supply reservoirs
# Units: effective_capacity: Mm^3; dam_height: m; dam_length: m; catchment: km^2
# Description: Tokyo's water supply reservoir (effective capacity)
# Comments: Inconsistent dam type labeling across two roiver systems (Tama specifies material and type; Tone specifies type only).
# Source: tokyo_001
name,riverBasin,effective_capacity,catchment_area,dam_type,dam_height,dam_length,compl_yr
Ogouchi,Tama,185.4,262.88,gravity,149,353,1957
Yamaguchi,Tama,19.528,7.18,earth,34,716,1934
Murayama-kami,Tama,2.983,1.34,earth,24,318,1927
Murayama-shimo,Tama,11.843,2.01,earth,35,610,1927
Yagisawa,Tone_Arakawa,175.8,167,arch,131,352,1967
Shimokubo,Tone_Arakawa,120.0,323,gravity,129,605,1968
Kusaki,Tone_Arakawa,50.5,254,gravity,140,405,1976
Naramata,Tone_Arakawa,85.0,95,rockfill,158,520,1990
Watarase,Tone_Arakawa,26.4,NA,pit,NA,NA,1990
Aimata,Tone_Arakawa,20.0,111,gravity,67,80,1959
Sonohara,Tone_Arakawa,14.14,494,gravity,77,128,1965
Arakawa,Tone_Arakawa,10.6,NA,pit,NA,NA,1996
Urayama,Tone_Arakawa,56.0,52,gravity,156,372,1998
Takizawa,Tone_Arakawa,58.0,109,gravity,132,424,2010
Futase ,Tone_Arakawa,21.8,170,arch,95,289,1961
