# File: sources.csv
# Title: Source details and abbreviations used in gluwasp
# Units: NA
# Description: Details of all sources used in gluwasp
# Comments: If year is unknown then latest year of citations in document assumed.
abbrv,author,year,title,publisher,url
tky_gov,Bureau of Waterworks Tokyo Met. Gov.,2016,Outline of the Tokyo Waterworks Bureau,BoWTMG,www.waterworks.metro.tokyo.jp/eng/supply/
tky_supply,Bureau of Waterworks Tokyo Met. Gov.,2016,Stable supply of delicious potable water,BoWTMG,www.waterworks.metro.tokyo.jp/eng/supply/
tky_leak,Bureau of Waterworks Tokyo Met. Gov.,2017,Prevention of leakage in Tokyo,BoWTMG,http://www.waterprofessionals.metro.tokyo.jp/pdf/Prevention_of_Leakage_in_Tokyo_2017.pdf
tky_refs,Bureau of Waterworks Tokyo Met. Gov.,2016,References,BoWTMG,http://www.waterprofessionals.metro.tokyo.jp/pdf/wst_09.pdf
bakker2002,Bakker,2002,Good governance in restructuring water supply: a handbook,Federation of Canadian Municipalities,https://www.ircwash.org/sites/default/files/Bakker-2002-Good.pdf
dudley2003,Dudely and Stolten,2003,Running pure: the importance of forest protected areas to drinking water,World Bank,http://siteresources.worldbank.org/INTBIODIVERSITY/Resources/RunningPure2003+.pdf
bfs2013,British Fluoridation Society,2013,The extent of fluoridation,BFS,https://www.bfsweb.org/one-in-a-million
wbaaa2006,World Bank Analytical and Advisory Assistance Program,2006,Water Resources Management in Japan, World Bank,http://siteresources.worldbank.org/INTEAPREGTOPENVIRONMENT/Resources/WRM_Japan_experience_EN.pdf
dlh_water,Delhi Government,2017,Economic Survey of Delhi - Water Supply and Sewerage,Government of NCT of Delhi,http://delhi.gov.in/wps/wcm/connect/DoIT_Planning/planning/economic+survey+of+dehli/economic+survey+of+delhi+2016+-+2017
dlh_act,Government of National Capital Territory of Delhi,1998,The Delhi Jal Board Act,Government of National Capital Territory of Delhi,http://www.indiawaterportal.org/sites/indiawaterportal.org/files/Delhi%20Jal%20Board%20Act_1998.pdf
dlh_policy,Delhi Government,2016,Water Policy for Delhi,Delhi Government,http://www.delhi.gov.in/wps/wcm/connect/f91b008046c5ef03bddbfd7d994b04ce/water+policy_21112016.pdf?MOD=AJPERES&lmod=604996771
dlh_yamuna,Gopal and Chauhan,2007,River Yamuna from source to Delhi: human impacts and approaches to conservation,National Institute of Ecology,NA
